City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,marechal floriano,-20.4128,-40.6831,20.14,98,21,1.42,BR,11/05/2024
1,baker city,44.7749,-117.8344,14.25,83,0,1.54,US,11/05/2024
2,adamstown,-25.066,-130.1015,21.81,79,99,5.63,PN,11/05/2024
3,grytviken,-54.2811,-36.5092,-3.06,83,67,4.83,GS,11/05/2024
4,tolanaro,-25.0319,46.9987,26.86,61,0,6.57,MG,11/05/2024
5,pingyi,35.5006,117.6308,24.73,16,100,3.2,CN,11/05/2024
6,beau vallon,-20.4189,57.6953,26.23,73,75,5.66,MU,11/05/2024
7,atherton,53.5237,-2.4935,21.14,63,85,1.34,GB,11/05/2024
8,kodiak,57.79,-152.4072,3.73,93,100,3.09,US,11/05/2024
9,ilulissat,69.2167,-51.1,-2.99,68,20,0.0,GL,11/05/2024
10,bilibino,68.0546,166.4372,0.25,78,100,1.17,RU,11/05/2024
11,puerto natales,-51.7236,-72.4875,-2.02,93,27,2.08,CL,11/05/2024
12,college,64.8569,-147.8028,6.2,49,75,3.09,US,11/05/2024
13,aginskoye,51.1,114.53,13.56,31,50,7.34,RU,11/05/2024
14,iqaluit,63.7506,-68.5145,-0.15,86,100,4.63,CA,11/05/2024
15,puerto ayora,-0.7393,-90.3518,22.53,96,99,2.47,EC,11/05/2024
16,irondale,33.5382,-86.7072,13.97,91,0,1.54,US,11/05/2024
17,olonkinbyen,70.9221,-8.7187,-0.66,76,61,4.29,SJ,11/05/2024
18,bethel,41.3712,-73.414,7.05,89,100,0.0,US,11/05/2024
19,badger,64.8,-147.5333,6.15,55,0,3.09,US,11/05/2024
20,port mathurin,-19.6833,63.4167,25.48,79,94,11.14,MU,11/05/2024
21,kimberley,-28.7323,24.7623,21.83,23,0,1.03,ZA,11/05/2024
22,port-aux-francais,-49.35,70.2167,5.07,76,84,11.67,TF,11/05/2024
23,west island,-12.1568,96.8225,28.99,84,40,6.69,CC,11/05/2024
24,blackmans bay,-43.0167,147.3167,10.29,92,42,0.45,AU,11/05/2024
25,mount pearl,47.5166,-52.7813,0.74,96,100,6.17,CA,11/05/2024
26,phek,25.6667,94.5,16.51,86,98,0.7,IN,11/05/2024
27,longyearbyen,78.2186,15.6401,1.91,64,40,7.72,SJ,11/05/2024
28,sitka,57.0531,-135.33,6.94,76,75,0.0,US,11/05/2024
29,lambarene,-0.7001,10.2406,28.9,75,91,1.39,GA,11/05/2024
30,queenstown,-31.8976,26.8753,16.88,44,8,1.1,ZA,11/05/2024
31,tura,25.5198,90.2201,31.19,46,62,2.06,IN,11/05/2024
32,margaret river,-33.95,115.0667,17.81,57,0,2.07,AU,11/05/2024
33,gadzhiyevo,69.2551,33.3362,0.32,91,100,5.77,RU,11/05/2024
34,bardai,11.65,7.2333,33.74,38,52,4.29,NG,11/05/2024
35,el porvenir,13.7617,-87.3458,24.63,88,100,0.39,HN,11/05/2024
36,la'ie,21.6477,-157.9253,23.98,88,7,1.79,US,11/05/2024
37,afaahiti,-17.75,-149.2833,23.93,84,15,6.21,PF,11/05/2024
38,edinburgh of the seven seas,-37.0676,-12.3116,17.12,90,100,12.88,SH,11/05/2024
39,tazovsky,67.4667,78.7,0.02,99,99,2.53,RU,11/05/2024
40,geraldton,-28.7667,114.6,25.23,53,0,5.66,AU,11/05/2024
41,whitehorse,60.7161,-135.0538,2.43,59,20,5.14,CA,11/05/2024
42,cabinda,-5.55,12.2,27.71,84,100,2.28,AO,11/05/2024
43,acarau,-2.8856,-40.12,24.72,89,97,3.84,BR,11/05/2024
44,tiksi,71.6872,128.8694,-2.36,93,100,3.5,RU,11/05/2024
45,sisimiut,66.9395,-53.6735,-3.8,82,31,2.67,GL,11/05/2024
46,avarua,-21.2078,-159.775,25.03,78,20,2.06,CK,11/05/2024
47,happy valley-goose bay,53.3168,-60.3315,-2.83,93,0,1.54,CA,11/05/2024
48,nar'yan-mar,67.6713,53.087,-3.27,88,99,3.13,RU,11/05/2024
49,berezovyy,51.6667,135.7,12.89,38,100,4.85,RU,11/05/2024
50,porbandar,21.6422,69.6093,31.55,62,0,5.56,IN,11/05/2024
51,esquel,-42.9,-71.3167,-2.64,92,17,0.48,AR,11/05/2024
52,coahuayana de hidalgo,18.7,-103.6583,21.49,89,4,1.09,MX,11/05/2024
53,kruisfontein,-34.0033,24.7314,19.94,46,1,6.94,ZA,11/05/2024
54,hadibu,12.65,54.0333,30.97,63,100,2.06,YE,11/05/2024
55,constantia,44.1833,28.65,22.38,50,29,5.6,RO,11/05/2024
56,portland,45.5234,-122.6762,18.71,72,0,1.54,US,11/05/2024
57,papatowai,-46.5619,169.4708,8.22,92,61,4.07,NZ,11/05/2024
58,lihue,21.9789,-159.3672,22.58,86,40,3.09,US,11/05/2024
59,yellowknife,62.456,-114.3525,3.29,96,100,8.75,CA,11/05/2024
60,vila velha,-20.3297,-40.2925,23.97,94,75,1.54,BR,11/05/2024
61,al muwayh,22.4333,41.7583,35.1,26,8,4.47,SA,11/05/2024
62,flying fish cove,-10.4217,105.6791,27.82,83,75,4.63,CX,11/05/2024
63,mahibadhoo,3.7833,72.9667,29.59,74,98,4.01,MV,11/05/2024
64,sinop,41.7711,34.8709,16.25,74,100,1.83,TR,11/05/2024
65,ourem,39.6417,-8.5919,21.37,73,72,0.45,PT,11/05/2024
66,ebon,4.582,168.6964,28.34,78,56,5.16,MH,11/05/2024
67,newman,37.3138,-121.0208,18.49,75,0,0.45,US,11/05/2024
68,yatou,37.15,122.3833,16.06,42,100,3.91,CN,11/05/2024
69,carnarvon,-24.8667,113.6333,28.72,40,79,3.89,AU,11/05/2024
70,rute,37.3269,-4.3683,19.47,38,8,1.23,ES,11/05/2024
71,ust-nera,64.5667,143.2,2.31,84,100,1.81,RU,11/05/2024
72,sao joao da barra,-21.6403,-41.0511,22.57,92,86,2.2,BR,11/05/2024
73,lae,-6.7221,146.9847,26.61,85,81,2.34,PG,11/05/2024
74,waitangi,-43.9535,-176.5597,8.79,88,100,4.02,NZ,11/05/2024
75,sterling,39.0062,-77.4286,9.58,91,75,1.79,US,11/05/2024
76,hermanus,-34.4187,19.2345,17.67,57,35,2.36,ZA,11/05/2024
77,whitby,54.4877,-0.615,18.26,72,26,4.82,GB,11/05/2024
78,wailua homesteads,22.0669,-159.378,22.24,89,40,3.09,US,11/05/2024
79,rikaze,29.25,88.8833,17.49,10,90,4.07,CN,11/05/2024
80,xiaoweizhai,26.1903,107.5125,23.14,87,83,1.57,CN,11/05/2024
81,udachny,66.4167,112.4,-3.64,62,100,2.43,RU,11/05/2024
82,saldanha,-33.0117,17.9442,18.03,59,4,1.56,ZA,11/05/2024
83,shimoda,34.6667,138.95,20.61,74,9,3.76,JP,11/05/2024
84,oyama,36.3,139.8,23.15,44,14,5.8,JP,11/05/2024
85,san antonio de pale,-1.4014,5.6325,26.55,88,70,5.43,GQ,11/05/2024
86,karkira,36.9292,6.5856,22.57,57,0,2.55,DZ,11/05/2024
87,hasparren,43.3838,-1.305,22.63,77,0,2.57,FR,11/05/2024
88,talnakh,69.4865,88.3972,0.09,92,100,1.57,RU,11/05/2024
89,atafu village,-8.5421,-172.5159,29.65,73,87,4.57,TK,11/05/2024
90,bubaque,11.2833,-15.8333,26.51,76,11,4.13,GW,11/05/2024
91,bredasdorp,-34.5322,20.0403,17.48,48,4,4.32,ZA,11/05/2024
92,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,95,75,5.0,RU,11/05/2024
93,barah,13.7,30.3667,38.46,16,58,2.1,SD,11/05/2024
94,punta arenas,-53.15,-70.9167,3.06,87,0,8.23,CL,11/05/2024
95,port elizabeth,-33.918,25.5701,21.17,54,20,9.26,ZA,11/05/2024
96,invercargill,-46.4,168.35,9.45,97,60,1.79,NZ,11/05/2024
97,mammoth lakes,37.6485,-118.9721,2.36,58,40,4.63,US,11/05/2024
98,hamilton,39.1834,-84.5333,13.35,84,20,3.09,US,11/05/2024
99,aral,40.5156,81.2636,31.97,7,20,5.55,CN,11/05/2024
100,blythe,33.6103,-114.5964,24.25,17,0,3.6,US,11/05/2024
101,sampit,-2.5333,112.95,30.13,73,84,1.98,ID,11/05/2024
102,kedougou,12.5579,-12.1743,33.32,43,0,5.14,SN,11/05/2024
103,marquette,46.5333,-87.6335,5.98,77,99,0.45,US,11/05/2024
104,tan-tan,28.438,-11.1032,19.97,77,75,8.75,MA,11/05/2024
105,tual,-5.6667,132.75,28.4,80,100,7.2,ID,11/05/2024
106,ariquemes,-9.9133,-63.0408,23.69,79,37,0.69,BR,11/05/2024
107,kosh-agach,50.0,88.6667,22.95,8,63,0.89,RU,11/05/2024
108,georgetown,5.4112,100.3354,32.96,62,20,2.57,MY,11/05/2024
109,mahina,-17.5065,-149.489,24.87,94,75,2.57,PF,11/05/2024
110,itapetininga,-23.5917,-48.0531,16.59,72,100,1.3,BR,11/05/2024
111,kutum,14.2,24.6667,34.03,6,39,5.26,SD,11/05/2024
112,borzya,50.3833,116.5167,10.79,55,90,10.13,RU,11/05/2024
113,mansa,29.9833,75.3833,42.05,13,2,5.96,IN,11/05/2024
114,ushuaia,-54.8,-68.3,3.81,70,0,8.23,AR,11/05/2024
115,aasiaat,68.7098,-52.8699,-9.42,92,98,2.81,GL,11/05/2024
116,volksrust,-27.3654,29.8818,25.16,19,10,3.64,ZA,11/05/2024
117,jamestown,42.097,-79.2353,4.77,99,100,2.06,US,11/05/2024
118,broome,42.2506,-75.833,9.0,97,100,0.89,US,11/05/2024
119,sao vicente,-23.9631,-46.3919,26.26,26,89,1.89,BR,11/05/2024
120,buala,-8.145,159.5921,27.12,84,100,2.29,SB,11/05/2024
121,ribeira grande,38.5167,-28.7,18.22,94,75,3.6,PT,11/05/2024
122,fort bragg,35.139,-79.006,13.91,75,0,2.06,US,11/05/2024
123,kisangani,0.5167,25.2,31.62,56,98,1.55,CD,11/05/2024
124,etrechy,48.4947,2.1949,21.61,59,38,4.16,FR,11/05/2024
125,la passe,45.5549,-0.8967,24.12,69,1,3.85,FR,11/05/2024
126,vacaria,-28.5122,-50.9339,16.78,98,97,1.8,BR,11/05/2024
127,nemuro,43.3236,145.575,6.06,90,100,4.52,JP,11/05/2024
128,cu chi,10.9667,106.4667,32.82,43,100,3.92,VN,11/05/2024
129,albany,42.6001,-73.9662,9.86,94,100,1.29,US,11/05/2024
130,severo-yeniseyskiy,60.3725,93.0408,5.88,98,100,3.58,RU,11/05/2024
131,nova olinda do norte,-3.8881,-59.0942,23.5,99,50,0.96,BR,11/05/2024
132,ballina,-28.8667,153.5667,18.21,92,100,3.61,AU,11/05/2024
133,ambon,-3.6954,128.1814,28.26,95,40,2.06,ID,11/05/2024
134,isafjordur,66.0755,-23.124,6.02,87,75,1.03,IS,11/05/2024
135,poronaysk,49.2167,143.1167,3.78,81,100,6.0,RU,11/05/2024
136,nagqu,31.5,92.0,7.72,8,65,6.63,CN,11/05/2024
137,amol,36.4696,52.3507,26.13,46,0,3.07,IR,11/05/2024
138,zakynthos,37.7914,20.8953,22.68,52,20,5.14,GR,11/05/2024
139,tsiombe,-25.3,45.4833,31.01,30,0,2.96,MG,11/05/2024
140,kailua-kona,19.6406,-155.9956,24.98,89,75,6.69,US,11/05/2024
141,princeville,45.7668,-61.2985,4.68,95,100,2.57,CA,11/05/2024
142,bondoukou,8.0333,-2.8,29.62,65,19,3.84,CI,11/05/2024
143,madalena,41.2162,-8.3345,19.75,79,0,1.21,PT,11/05/2024
144,taksimo,56.3444,114.8794,9.39,30,24,2.82,RU,11/05/2024
145,hobyo,5.3505,48.5268,31.93,60,99,5.31,SO,11/05/2024
146,dudinka,69.4058,86.1778,-4.62,82,100,4.47,RU,11/05/2024
147,hami,42.8,93.45,32.85,6,4,1.66,CN,11/05/2024
148,hawaiian paradise park,19.5933,-154.9731,22.24,98,75,0.0,US,11/05/2024
149,warangal,18.0,79.5833,39.48,26,11,2.34,IN,11/05/2024
150,trujillo,-8.116,-79.03,16.98,94,75,3.09,PE,11/05/2024
151,kurchatov,51.6601,35.6521,13.87,63,72,6.82,RU,11/05/2024
152,namibe,-15.1961,12.1522,25.27,67,0,2.24,AO,11/05/2024
153,port moresby,-9.4431,147.1797,25.83,90,94,5.74,PG,11/05/2024
154,howrah,22.5892,88.3103,27.0,83,75,5.14,IN,11/05/2024
155,uturoa,-16.7333,-151.4333,27.64,79,18,3.58,PF,11/05/2024
156,kill devil hills,36.0307,-75.676,13.32,80,100,6.17,US,11/05/2024
157,holualoa,19.6228,-155.9522,22.91,90,75,6.69,US,11/05/2024
158,moyamba,8.1667,-12.4333,27.12,85,98,0.46,SL,11/05/2024
159,callao,-12.0667,-77.15,19.84,82,40,2.57,PE,11/05/2024
160,vadso,70.0744,29.7487,4.09,70,20,4.12,NO,11/05/2024
161,faya-largeau,17.9257,19.1043,38.11,11,6,10.03,TD,11/05/2024
162,utrik,11.2278,169.8474,27.28,82,100,6.87,MH,11/05/2024
163,essaouira,31.5125,-9.77,24.72,57,99,4.63,MA,11/05/2024
164,brisas de zicatela,15.8369,-97.0419,25.57,66,100,2.27,MX,11/05/2024
165,phan thiet,10.9333,108.1,31.9,64,100,5.54,VN,11/05/2024
166,kapuskasing,49.4169,-82.4331,8.05,61,100,2.57,CA,11/05/2024
167,smara,26.7384,-11.6719,20.92,61,22,6.59,EH,11/05/2024
168,tazacorte,28.629,-17.9293,21.54,85,40,6.17,ES,11/05/2024
169,vilyuchinsk,52.9306,158.4028,3.15,82,100,1.89,RU,11/05/2024
170,crnici,43.1289,17.8667,22.88,27,0,2.06,BA,11/05/2024
171,praia da vitoria,38.7333,-27.0667,20.14,77,40,2.44,PT,11/05/2024
172,fale old settlement,-9.3852,-171.2468,29.25,74,14,3.68,TK,11/05/2024
173,nova sintra,14.8667,-24.7167,20.99,77,64,9.26,CV,11/05/2024
174,fada,9.5667,8.3,29.59,54,98,1.83,NG,11/05/2024
175,codrington,-38.2667,141.9667,14.15,77,77,3.24,AU,11/05/2024
176,okakarara,-20.5833,17.4333,26.71,13,0,3.51,NA,11/05/2024
177,burang,30.25,81.1667,10.0,50,66,4.14,CN,11/05/2024
178,saipan,15.1355,145.701,28.39,78,40,5.14,MP,11/05/2024
179,malango,-2.9627,119.9001,25.46,77,55,1.6,ID,11/05/2024
180,xilin hot,43.9667,116.0333,11.19,44,94,9.18,CN,11/05/2024
181,st. john's,47.5649,-52.7093,1.2,96,100,4.12,CA,11/05/2024
182,mersa matruh,31.3525,27.2453,21.75,62,0,6.8,EG,11/05/2024
183,marsannay-la-cote,47.271,4.989,19.6,60,0,1.54,FR,11/05/2024
184,ponta delgada,37.7333,-25.6667,18.44,88,20,5.66,PT,11/05/2024
185,betio village,1.358,172.9211,29.02,74,100,5.08,KI,11/05/2024
186,musan-up,42.2261,129.2078,15.01,62,100,3.04,KP,11/05/2024
187,labrador city,52.9463,-66.9114,-0.46,67,0,2.57,CA,11/05/2024
188,zahedan,29.4963,60.8629,27.95,21,0,3.09,IR,11/05/2024
189,srednebelaya,50.6594,128.0106,5.21,87,100,7.99,RU,11/05/2024
190,arris,35.2588,6.3471,17.9,39,0,4.79,DZ,11/05/2024
191,bikenibeu village,1.3673,173.1241,28.98,79,75,3.09,KI,11/05/2024
192,north elba,44.2434,-73.9543,6.23,96,74,1.71,US,11/05/2024
193,ingeniero jacobacci,-41.3427,-69.5448,0.11,78,93,2.7,AR,11/05/2024
194,smirnykh,49.75,142.8333,5.85,67,100,4.24,RU,11/05/2024
195,okahandja,-21.9833,16.9167,27.96,18,5,3.45,NA,11/05/2024
196,ormara,25.2088,64.6357,28.96,70,0,5.15,PK,11/05/2024
197,chegdomyn,51.1167,133.0167,11.66,38,100,3.98,RU,11/05/2024
198,gurupa,-1.405,-51.64,23.5,99,86,0.73,BR,11/05/2024
199,carupano,10.6678,-63.2585,25.16,90,100,4.18,VE,11/05/2024
200,garachico,28.7781,-17.7646,20.06,68,40,6.17,ES,11/05/2024
201,liepaja,56.5419,21.0367,10.99,50,0,4.12,LV,11/05/2024
202,lompoc,34.6391,-120.4579,12.23,94,100,2.06,US,11/05/2024
203,impfondo,1.6381,18.0667,34.36,44,67,2.04,CG,11/05/2024
204,chonchi,-42.6128,-73.8092,5.07,95,48,0.5,CL,11/05/2024
205,port isabel,26.0734,-97.2086,28.02,85,100,4.02,US,11/05/2024
206,kiffa,16.6166,-11.4045,36.75,8,71,7.02,MR,11/05/2024
207,hengchun,22.0042,120.7439,27.87,65,100,3.93,TW,11/05/2024
208,shingu,33.7333,135.9833,18.51,78,73,2.26,JP,11/05/2024
209,lavrio,37.7145,24.0565,21.63,54,5,12.32,GR,11/05/2024
210,dryden,49.7833,-92.7503,5.16,93,100,0.0,CA,11/05/2024
211,cabedelo,-6.9811,-34.8339,23.37,77,100,2.81,BR,11/05/2024
212,san luis de la loma,17.2706,-100.8939,24.13,72,86,0.87,MX,11/05/2024
213,urbana,40.1106,-88.2073,15.01,76,75,5.14,US,11/05/2024
214,kerema,-7.9631,145.7785,26.93,87,98,2.61,PG,11/05/2024
215,kafanchan,9.5833,8.3,29.69,54,98,1.85,NG,11/05/2024
216,nuuk,64.1835,-51.7216,-1.66,86,100,1.54,GL,11/05/2024
217,rexburg,43.826,-111.7897,6.67,52,75,2.34,US,11/05/2024
218,thompson,55.7435,-97.8558,7.09,65,75,2.06,CA,11/05/2024
219,tuy hoa,13.0833,109.3,30.84,67,100,4.0,VN,11/05/2024
220,morehead city,34.7229,-76.726,14.45,85,0,4.12,US,11/05/2024
221,grand baie,-20.0182,57.5802,26.36,81,48,2.24,MU,11/05/2024
222,galliano,29.4422,-90.2992,22.22,66,96,5.17,US,11/05/2024
223,grand island,40.925,-98.342,11.83,71,0,2.06,US,11/05/2024
224,west bay,19.3667,-81.4167,26.15,88,15,3.24,KY,11/05/2024
225,snowflake,34.5134,-110.0785,7.64,26,0,3.92,US,11/05/2024
226,kavieng,-2.5744,150.7967,28.85,75,99,3.25,PG,11/05/2024
227,novodvinsk,64.4165,40.8122,3.86,69,91,4.25,RU,11/05/2024
228,modimolle,-24.7,28.4,26.16,17,0,2.31,ZA,11/05/2024
229,katsuura,35.1333,140.3,19.51,69,10,7.93,JP,11/05/2024
230,weihai,37.5017,122.1136,14.97,53,100,4.79,CN,11/05/2024
231,santa terezinha,-29.9002,-50.0904,17.95,94,100,4.49,BR,11/05/2024
232,alice springs,-23.7,133.8833,16.75,51,0,3.6,AU,11/05/2024
233,berdigestyakh,62.0989,126.6992,4.34,46,100,2.2,RU,11/05/2024
234,dubai,25.2582,55.3047,32.16,48,0,4.12,AE,11/05/2024
235,trancas,-26.2314,-65.2803,8.6,92,7,0.86,AR,11/05/2024
236,bakchar,57.0186,82.0711,15.85,34,100,3.0,RU,11/05/2024
237,tangalle,6.024,80.7911,30.15,73,76,2.42,LK,11/05/2024
238,satkania,22.0796,92.0572,29.99,47,0,4.51,BD,11/05/2024
239,kingston,17.997,-76.7936,25.65,92,38,0.56,JM,11/05/2024
240,ancud,-41.8697,-73.8203,6.7,87,99,3.48,CL,11/05/2024
241,arraial do cabo,-22.9661,-42.0278,21.92,88,100,1.03,BR,11/05/2024
242,jackson,42.4165,-122.8345,16.03,70,0,0.0,US,11/05/2024
243,taroa,8.7058,171.2275,26.33,89,100,8.09,MH,11/05/2024
244,susuman,62.7833,148.1667,3.32,73,100,1.34,RU,11/05/2024
245,jaragua,-15.7569,-49.3344,15.32,74,66,1.48,BR,11/05/2024
246,camocim,-2.9022,-40.8411,24.33,91,100,3.22,BR,11/05/2024
247,carneys point,39.7112,-75.4702,8.97,86,100,2.57,US,11/05/2024
248,kokopo,-4.352,152.2633,26.71,86,100,1.42,PG,11/05/2024
249,prince george,53.9166,-122.753,12.57,67,100,2.06,CA,11/05/2024
250,zheleznodorozhnyy,55.7503,38.0042,10.2,43,83,5.81,RU,11/05/2024
251,tamanrasset,22.785,5.5228,29.95,9,0,5.66,DZ,11/05/2024
252,taro,-8.3862,115.28,24.69,76,100,1.31,ID,11/05/2024
253,kharp,66.8014,65.8081,-2.94,98,52,1.74,RU,11/05/2024
254,caleta de carquin,-11.0925,-77.6267,18.2,91,72,3.71,PE,11/05/2024
255,lishui,28.4604,119.9103,23.98,94,100,0.07,CN,11/05/2024
256,connersville,39.6412,-85.1411,12.75,84,98,2.24,US,11/05/2024
257,bereeda,11.8704,51.0579,33.68,51,87,2.89,SO,11/05/2024
258,morondava,-20.2833,44.2833,29.04,48,0,2.99,MG,11/05/2024
259,antofagasta,-23.65,-70.4,14.6,85,100,3.07,CL,11/05/2024
260,saint-pierre,-21.3393,55.4781,28.82,58,0,11.32,RE,11/05/2024
261,margate,51.3813,1.3862,18.39,82,94,5.52,GB,11/05/2024
262,calvinia,-31.4707,19.776,12.88,46,0,1.04,ZA,11/05/2024
263,boca do acre,-8.7522,-67.3978,23.11,91,32,0.7,BR,11/05/2024
264,itoman,26.1247,127.6694,26.43,66,75,3.6,JP,11/05/2024
265,bintulu,3.1667,113.0333,27.25,84,99,2.84,MY,11/05/2024
266,mariental,-24.6333,17.9667,25.46,14,1,3.51,NA,11/05/2024
267,altai,46.3722,96.2583,20.61,9,35,5.84,MN,11/05/2024
268,inarajan village,13.2736,144.7484,29.11,88,38,6.49,GU,11/05/2024
269,san borja,-14.8167,-66.85,23.6,92,73,0.94,BO,11/05/2024
270,luena,-11.7833,19.9167,26.35,32,6,2.34,AO,11/05/2024
271,mar del plata,-38.0023,-57.5575,12.27,80,0,6.71,AR,11/05/2024
272,addiet canna,11.2667,37.4833,26.78,24,93,3.67,ET,11/05/2024
273,luau,-10.7073,22.2247,27.74,35,10,1.66,AO,11/05/2024
274,zouerate,22.7187,-12.4521,26.83,28,4,4.58,MR,11/05/2024
275,siwa oasis,29.2041,25.5195,24.7,32,0,2.1,EG,11/05/2024
276,palmer,42.1584,-72.3287,7.54,76,100,0.0,US,11/05/2024
277,crane,31.3974,-102.3501,17.59,72,66,7.39,US,11/05/2024
278,new plymouth,-39.0667,174.0833,9.89,64,0,1.99,NZ,11/05/2024
279,solnechnyy,50.7214,136.6319,8.91,52,100,4.92,RU,11/05/2024
280,kenai,60.5544,-151.2583,5.64,66,75,7.2,US,11/05/2024
281,nueve de julio,-35.4444,-60.8831,7.12,76,90,3.26,AR,11/05/2024
282,cadale,2.7603,46.3222,30.72,66,89,7.08,SO,11/05/2024
283,quang ngai,15.1167,108.8,32.16,59,9,5.36,VN,11/05/2024
284,enewetak,11.3474,162.3373,27.46,76,100,7.22,MH,11/05/2024
